Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.243870	0.492171	90.951278	91.304347	
0.000100	0.283564	0.496194	89.791185	91.304347	
0.000100	0.298537	0.496193	88.399073	91.304348	
0.000100	0.278731	0.493667	90.023205	91.304348	
0.000100	0.216104	0.489641	92.111369	91.304347	
0.000100	0.360370	0.490349	86.542925	91.304348	
0.000100	0.237842	0.489538	91.879353	91.304347	
0.000100	0.323875	0.487374	88.399075	91.304347	
0.000100	0.271445	0.487532	90.951277	91.304347	
0.000100	0.232856	0.484297	91.415316	91.304348	
0.000100	0.272958	0.483718	90.719260	91.304348	
0.000100	0.316525	0.483943	87.470999	91.304347	
0.000100	0.213012	0.482067	93.271465	91.304347	
0.000100	0.341539	0.480309	89.095128	91.304348	
0.000100	0.279510	0.484027	90.719259	91.304347	
0.000100	0.308840	0.488985	88.631093	91.304348	
0.000100	0.257644	0.491226	90.951277	91.304348	
0.000100	0.273830	0.493191	91.183298	91.304348	
0.000100	0.235131	0.493820	90.255221	91.304347	
0.000100	0.225838	0.496528	92.111370	91.304348	
0.000100	0.251932	0.496976	91.183296	91.304348	
0.000100	0.286880	0.496916	90.487240	91.304348	
0.000100	0.254993	0.495222	91.183296	91.304348	
0.000100	0.362416	0.495808	86.310908	91.304347	
0.001000	0.311646	0.499897	90.719260	91.304347	
0.001000	0.252583	0.504321	91.415314	91.304347	
0.001000	0.230573	0.506728	92.575409	91.304347	
0.001000	0.271141	0.506614	91.183296	91.304347	
0.001000	0.251991	0.505006	91.647334	91.304348	
0.001000	0.259093	0.512245	91.183297	91.304347	
0.001000	0.242235	0.517473	92.111370	91.304347	
0.001000	0.234243	0.522393	91.415316	89.855072	
0.001000	0.206054	0.525246	93.967520	89.855072	
0.001000	0.311912	0.523957	89.327147	89.855072	
0.001000	0.199968	0.524153	93.271464	89.855072	
0.001000	0.220375	0.521290	91.879352	89.855072	
0.001000	0.237776	0.526670	91.647333	89.855072	
0.001000	0.151013	0.522910	94.895595	89.855072	
0.001000	0.230513	0.525025	90.951277	89.855072	
0.001000	0.193951	0.518327	92.575408	89.855072	
0.001000	0.198630	0.519350	93.503481	91.304348	
0.001000	0.258572	0.527179	90.951278	91.304347	
0.001000	0.251044	0.533132	90.719259	91.304348	
0.001000	0.207110	0.533403	91.647332	91.304348	
0.001000	0.214063	0.535470	92.111370	91.304347	
0.001000	0.221113	0.539626	91.415315	91.304347	
0.001000	0.197876	0.541216	93.271465	91.304348	
0.001000	0.290385	0.544004	90.255221	91.304348	
0.001000	0.235846	0.552055	92.343390	91.304347	
0.001000	0.201209	0.556148	92.111371	91.304347	
0.001000	0.217596	0.557852	92.807425	91.304348	
0.001000	0.177517	0.564188	94.199539	91.304347	
0.001000	0.223771	0.567037	93.039446	91.304347	
0.001000	0.254000	0.573759	90.255223	89.855072	
0.001000	0.230680	0.567294	90.023205	89.855072	
0.001000	0.184640	0.558550	93.735500	89.855072	
0.001000	0.185959	0.555452	92.111370	89.855072	
0.001000	0.229304	0.548271	92.575408	89.855072	
0.001000	0.253549	0.534522	89.791184	91.304348	
0.001000	0.176923	0.529932	93.967518	91.304348	
0.001000	0.174973	0.527260	93.271463	91.304347	
0.001000	0.224799	0.525261	90.951278	91.304348	
0.001000	0.204019	0.520334	91.647334	91.304348	
0.001000	0.205373	0.519904	92.575407	91.304347	
0.001000	0.175007	0.520393	94.431558	91.304347	
0.001000	0.216730	0.522675	92.575406	91.304348	
0.001000	0.142500	0.526587	94.199539	91.304347	
0.001000	0.192693	0.523366	92.343388	91.304347	
0.001000	0.178052	0.524331	93.503482	91.304348	
0.001000	0.222950	0.527112	92.807428	91.304347	
0.001000	0.246743	0.522829	91.647332	91.304347	
0.001000	0.186546	0.520714	93.967518	91.304347	
0.001000	0.218643	0.522515	92.343388	91.304347	
0.001000	0.207780	0.519284	93.503483	91.304347	
0.001000	0.185767	0.515666	92.807425	91.304347	
0.001000	0.219052	0.507978	92.807427	91.304348	
0.001000	0.207486	0.506604	92.111372	91.304347	
0.001000	0.163510	0.508409	94.199539	91.304347	
0.001000	0.149234	0.510501	94.895593	92.753623	
0.001000	0.199849	0.511469	92.807426	92.753623	
0.001000	0.221689	0.513256	91.879351	92.753623	
0.001000	0.107428	0.515482	96.751741	92.753623	
0.001000	0.159319	0.517941	93.967520	92.753623	
